date,close,volume,open,high,low
2/9/16,148.25,8639661,142.32,159.79,141.05
2/8/16,147.99,9306754,157.105,157.15,146
2/5/16,162.6,9434495,171.3,173,157.7442
2/4/16,175.33,4379442,170.7,175.98,166.99
2/3/16,173.48,7927640,183.59,183.94,170.18
2/2/16,182.78,5764817,192.42,193.12,180.23
2/1/16,196.94,5295685,188.76,199.52,182.75
1/29/16,191.2,2848929,189.95,193.74,188.08
1/28/16,189.7,4586328,190.79,191.28,182.41
1/27/16,188.07,3577353,192.38,193.26,185.77
1/26/16,193.56,4956918,196.7,197.82,188.88
1/25/16,196.38,2695408,200.06,203.57,195.88
1/22/16,202.55,3122066,204.801,205.5,199.03
1/21/16,199.97,3164424,201.55,203.23,195.02
1/20/16,198.7,5826110,199.4,201.28,191.25
1/19/16,204.72,4031271,208.71,210.47,200.78
1/15/16,204.99,5325773,198.97,205.07,197.25
1/14/16,206.18,6490579,202.21,210,193.38
1/13/16,200.31,4120993,212.01,212.65,200
1/12/16,209.97,3079051,211.6,213.7395,205.31
1/11/16,207.85,4090843,214.01,214.45,203
1/8/16,211,3572360,217.86,220.44,210.77
1/7/16,215.65,3550704,214.19,218.44,213.67
1/6/16,219.04,3774353,220,220.05,215.98
1/5/16,223.43,3185525,226.36,226.89,220
1/4/16,223.41,6823510,230.72,231.38,219
12/31/15,240.01,2713817,238.51,243.45,238.37
12/30/15,238.09,3694448,236.6,243.634,235.6707
12/29/15,237.19,2402438,230.06,237.72,229.547
12/28/15,228.95,1900171,231.49,231.98,225.54
12/24/15,230.57,710277,230.56,231.88,228.28
12/23/15,229.7,1551031,232.18,233.45,228.13
12/22/15,229.95,1958836,234.99,236.55,229.63
12/21/15,232.56,1951581,231.69,235.83,231.08
12/18/15,230.46,3008057,232.89,235.9,229.29
12/17/15,233.39,3294460,233.94,237.76,229.8149
12/16/15,234.51,5100443,222.1,234.88,220.73
12/15/15,221.09,2241686,221.82,222.22,218
12/14/15,218.58,2827797,217.51,220.92,214.87
12/11/15,217.02,3259114,225.24,225.75,216.64
12/10/15,227.07,2070088,224.71,228.49,223.64
12/9/15,224.52,3057036,226.7,227.5,220.72
12/8/15,226.72,2682259,227.52,228.8,224.2
12/7/15,231.13,3140864,227.7,235.63,226.15
12/4/15,230.38,2572014,232.46,233.27,227.66
